# The following is the parsable format, which can be fed to other
# programs. Each different item in every column has an unique ID
# starting usually from zero.
# CPU,Core,Socket,Node,Online
0,0,0,0,Y
1,1,0,0,Y
2,2,0,0,Y
3,3,0,0,Y
4,4,0,0,Y
5,5,0,0,Y
6,6,0,0,Y
7,7,0,0,Y
8,8,0,0,Y
9,9,0,0,Y
10,10,0,0,Y
11,11,0,0,Y
12,12,0,0,Y
13,13,0,0,Y
14,14,0,0,Y
15,15,0,0,Y
16,16,0,0,Y
17,17,0,0,Y
18,18,0,0,Y
19,19,0,0,Y
20,20,0,0,Y
21,21,0,0,Y
22,22,0,0,Y
23,23,0,0,Y
24,24,0,0,Y
25,25,0,0,Y
26,26,0,0,Y
27,27,0,0,Y
28,28,0,0,Y
29,29,0,0,Y
30,30,0,0,Y
31,31,0,0,Y
32,32,0,0,Y
33,33,0,0,Y
34,34,0,0,Y
35,35,0,0,Y
36,36,0,0,Y
37,37,0,0,Y
38,38,0,0,Y
39,39,0,0,Y
40,40,0,0,Y
41,41,0,0,Y
42,42,0,0,Y
43,43,0,0,Y
44,44,0,0,Y
45,45,0,0,Y
46,46,0,0,Y
47,47,0,0,Y
48,48,0,0,Y
49,49,0,0,Y
50,50,0,0,Y
51,51,0,0,Y
52,52,0,0,Y
53,53,0,0,Y
54,54,0,0,Y
55,55,0,0,Y
56,56,0,0,Y
57,57,0,0,Y
58,58,0,0,Y
59,59,0,0,Y
60,60,0,0,Y
61,61,0,0,Y
62,62,0,0,Y
63,63,0,0,Y
64,64,0,0,Y
65,65,0,0,Y
66,66,0,0,Y
67,67,0,0,Y
68,68,0,0,Y
69,69,0,0,Y
70,70,0,0,Y
71,71,0,0,Y
72,72,0,0,Y
73,73,0,0,Y
74,74,0,0,Y
75,75,0,0,Y
76,76,0,0,Y
77,77,0,0,Y
78,78,0,0,Y
79,79,0,0,Y
80,80,0,0,Y
81,81,0,0,Y
82,82,0,0,Y
83,83,0,0,Y
84,84,0,0,Y
85,85,0,0,Y
86,86,0,0,Y
87,87,0,0,Y
88,88,0,0,Y
89,89,0,0,Y
90,90,0,0,Y
91,91,0,0,Y
92,92,0,0,Y
93,93,0,0,Y
94,94,0,0,Y
95,95,0,0,Y
96,96,0,0,Y
97,97,0,0,Y
98,98,0,0,Y
99,99,0,0,Y
100,100,0,0,Y
101,101,0,0,Y
102,102,0,0,Y
103,103,0,0,Y
104,104,0,0,Y
105,105,0,0,Y
106,106,0,0,Y
107,107,0,0,Y
108,108,0,0,Y
109,109,0,0,Y
110,110,0,0,Y
111,111,0,0,Y
112,112,0,0,Y
113,113,0,0,Y
114,114,0,0,Y
115,115,0,0,Y
116,116,0,0,Y
117,117,0,0,Y
118,118,0,0,Y
119,119,0,0,Y
120,120,0,0,Y
121,121,0,0,Y
122,122,0,0,Y
123,123,0,0,Y
124,124,0,0,Y
125,125,0,0,Y
126,126,0,0,Y
127,127,0,0,Y
128,128,0,0,Y
129,129,0,0,Y
130,130,0,0,Y
131,131,0,0,Y
132,132,0,0,Y
133,133,0,0,Y
134,134,0,0,Y
135,135,0,0,Y
136,136,0,0,Y
137,137,0,0,Y
138,138,0,0,Y
139,139,0,0,Y
140,140,0,0,Y
141,141,0,0,Y
142,142,0,0,Y
143,143,0,0,Y
144,144,0,0,Y
145,145,0,0,Y
146,146,0,0,Y
147,147,0,0,Y
148,148,0,0,Y
149,149,0,0,Y
150,150,0,0,Y
151,151,0,0,Y
152,152,0,0,Y
153,153,0,0,Y
154,154,0,0,Y
155,155,0,0,Y
156,156,0,0,Y
157,157,0,0,Y
158,158,0,0,Y
159,159,0,0,Y
160,160,0,0,Y
161,161,0,0,Y
162,162,0,0,Y
163,163,0,0,Y
164,164,0,0,Y
165,165,0,0,Y
166,166,0,0,Y
167,167,0,0,Y
168,168,0,0,Y
169,169,0,0,Y
170,170,0,0,Y
171,171,0,0,Y
172,172,0,0,Y
173,173,0,0,Y
174,174,0,0,Y
175,175,0,0,Y
176,176,0,0,Y
177,177,0,0,Y
178,178,0,0,Y
179,179,0,0,Y
180,180,0,0,Y
181,181,0,0,Y
182,182,0,0,Y
183,183,0,0,Y
184,184,0,0,Y
185,185,0,0,Y
186,186,0,0,Y
187,187,0,0,Y
188,188,0,0,Y
189,189,0,0,Y
190,190,0,0,Y
191,191,0,0,Y
